index,lat_deg,lon_deg,cumulative_surface_distance_km,cumulative_flight_distance_km,density_kg_m3,temperature_k
35,63.720382,15.515665,443.634,445.120,0.06922907,213.667
36,63.833017,15.438794,456.716,458.245,0.06921545,213.660
37,63.945583,15.360866,469.800,471.374,0.06920183,213.653
38,64.058080,15.281880,482.889,484.506,0.06918828,213.646
39,64.170507,15.201832,495.980,497.641,0.06917480,213.638
40,64.282864,15.120722,509.074,510.779,0.06916144,213.631
41,64.395150,15.038547,522.172,523.921,0.06914816,213.624
42,64.507365,14.955305,535.273,537.065,0.06913482,213.616
43,64.619509,14.870994,548.377,550.213,0.06912161,213.609
44,64.731580,14.785612,561.483,563.364,0.06910846,213.602
45,64.843580,14.699157,574.593,576.517,0.06909533,213.594
46,64.955507,14.611627,587.706,589.674,0.06908219,213.587
47,65.067361,14.523020,600.821,602.834,0.06906918,213.580
48,65.179142,14.433332,613.940,615.996,0.06905618,213.572
49,65.290848,14.342563,627.061,629.161,0.06904331,213.565
50,65.402481,14.250709,640.185,642.328,0.06903038,213.557
51,65.514038,14.157769,653.311,655.499,0.06901759,213.550
52,65.625520,14.063740,666.440,668.672,0.06900485,213.542
53,65.736927,13.968619,679.571,681.847,0.06899224,213.535
54,65.848258,13.872403,692.705,695.025,0.06897940,213.528
55,65.959512,13.775092,705.841,708.205,0.06896693,213.520
56,66.070689,13.676681,718.979,721.387,0.06895434,213.513
57,66.181789,13.577168,732.119,734.571,0.06894195,213.505
58,66.292811,13.476551,745.262,747.758,0.06892937,213.498
59,66.403755,13.374826,758.406,760.946,0.06891717,213.491
60,66.514620,13.271991,771.553,774.137,0.06890465,213.483
61,66.625406,13.168044,784.701,787.329,0.06889246,213.476
62,66.736112,13.062981,797.851,800.523,0.06888022,213.469
63,66.846738,12.956799,811.003,813.719,0.06886791,213.462
64,66.957284,12.849496,824.156,826.916,0.06885592,213.454
65,67.067749,12.741068,837.311,840.115,0.06884374,213.447
66,67.178133,12.631513,850.467,853.315,0.06883176,213.440
67,67.288435,12.520827,863.624,866.516,0.06881972,213.433
68,67.398654,12.409007,876.782,879.719,0.06880794,213.426
69,67.508792,12.296050,889.942,892.922,0.06879597,213.419
70,67.618846,12.181952,903.103,906.127,0.06878432,213.412
71,67.728817,12.066711,916.264,919.333,0.06877243,213.405
72,67.838704,11.950322,929.426,932.539,0.06876072,213.398
73,67.948507,11.832783,942.589,945.746,0.06874901,213.391
74,68.058226,11.714089,955.753,958.954,0.06873737,213.385
75,68.167859,11.594238,968.917,972.162,0.06872573,213.378
76,68.277408,11.473226,982.082,985.371,0.06871416,213.371
77,68.386870,11.351048,995.246,998.579,0.06870274,213.365
78,68.496247,11.227702,1008.411,1011.788,0.06869131,213.358
79,68.605537,11.103183,1021.576,1024.998,0.06867994,213.352
80,68.714741,10.977487,1034.741,1038.207,0.06866845,213.345
81,68.823857,10.850610,1047.906,1051.416,0.06865742,213.339
82,68.932887,10.722549,1061.071,1064.625,0.06864600,213.333
83,69.041828,10.593299,1074.235,1077.833,0.06863476,213.326
84,69.150682,10.462855,1087.399,1091.041,0.06862354,213.320
85,69.259448,10.331215,1100.563,1104.248,0.06861239,213.314
86,69.368125,10.198372,1113.726,1117.455,0.06860135,213.308
87,69.476713,10.064324,1126.888,1130.661,0.06859033,213.303
88,69.585212,9.929064,1140.049,1143.867,0.06857938,213.297
89,69.693622,9.792589,1153.209,1157.071,0.06856849,213.291
90,69.801942,9.654894,1166.368,1170.274,0.06855760,213.286
91,69.910173,9.515974,1179.526,1183.476,0.06854664,213.280
92,70.018314,9.375824,1192.683,1196.677,0.06853584,213.275
93,70.126365,9.234439,1205.838,1209.877,0.06852496,213.269
94,70.234325,9.091813,1218.992,1223.075,0.06851433,213.264
95,70.342196,8.947943,1232.145,1236.271,0.06850366,213.259
96,70.449975,8.802822,1245.295,1249.466,0.06849291,213.254
97,70.557664,8.656444,1258.444,1262.659,0.06848242,213.249
98,70.665262,8.508805,1271.592,1275.850,0.06847169,213.244
99,70.772770,8.359898,1284.737,1289.039,0.06846127,213.240
100,70.880186,8.209719,1297.880,1302.226,0.06845073,213.235
101,70.987511,8.058260,1311.021,1315.411,0.06844026,213.231
102,71.094745,7.905515,1324.160,1328.594,0.06842984,213.226
103,71.201889,7.751480,1337.296,1341.775,0.06841944,213.222
104,71.308941,7.596146,1350.430,1354.953,0.06840917,213.218
105,71.415902,7.439508,1363.562,1368.128,0.06839876,213.214
106,71.522772,7.281559,1376.691,1381.301,0.06838849,213.210
107,71.629551,7.122293,1389.817,1394.472,0.06837822,213.206
108,71.736239,6.961702,1402.941,1407.639,0.06836809,213.202
109,71.842836,6.799779,1416.062,1420.804,0.06835781,213.199
110,71.949343,6.636517,1429.180,1433.966,0.06834775,213.196
111,72.055759,6.471908,1442.294,1447.125,0.06833768,213.192
112,72.162084,6.305946,1455.406,1460.280,0.06832763,213.189
113,72.268319,6.138621,1468.515,1473.433,0.06831763,213.186
114,72.374464,5.969926,1481.621,1486.582,0.06830762,213.183
115,72.480520,5.799854,1494.723,1499.728,0.06829764,213.181
116,72.586485,5.628394,1507.822,1512.871,0.06828784,213.178
117,72.692362,5.455540,1520.917,1526.011,0.06827778,213.175
118,72.798149,5.281281,1534.009,1539.147,0.06826799,213.173
119,72.903847,5.105609,1547.098,1552.279,0.06825820,213.171
120,73.009457,4.928515,1560.183,1565.408,0.06824841,213.169
121,73.114979,4.749989,1573.264,1578.533,0.06823856,213.167
122,73.220413,4.570021,1586.342,1591.654,0.06822884,213.165
123,73.325760,4.388601,1599.416,1604.772,0.06821912,213.164
